# 数字编码 - 一目了然，只填数字
# card_type: 0=starter, 1=tile, 2=river
# edge (N/E/S/W): 0=EMPTY 1=LAND 2=WATER 3=RIVER 4=BANK
# center: 0=EMPTY 1=LAND 2=LAKE 3=RIVER
# water_subnets / land_subnets: bitmask N=1 E=2 S=4 W=8; 多子网用 ; 分隔
# 例: 单子网 NESW 写 15; 多子网 W+N 写 8;1
id,display_name,card_type,count,N,E,S,W,N_ir,E_ir,S_ir,W_ir,center,is_river_tile,water_subnets,land_subnets,prefab_scene,prefab_rotation,visual_seed,initial_growth,notes
starter_verdant_cross,沃土中央,0,1,1,1,1,1,0,0,0,0,1,0,,15,res://scenes/tiles_3d/generated/procedural_land_four.tscn,0,1,1,起手地块：整块可种植沃土
three_land_river_garden_a,三边灌溉田,1,1,1,1,2,1,1,1,0,1,0,0,4,11,res://scenes/tiles_3d/generated/procedural_land_new_water_s.tscn,0,4493,0,三条土地边属于同一土地块；南侧水流经北、东、西土地接口供水
city_cap_road_a,城边小路,1,2,1,0,0,2,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n_water_w.tscn,0,2,0,经典R1C1：单边城墙+路(count2)
monastery_lake,修道院之湖,1,4,0,0,0,0,0,0,0,0,2,0,,,res://scenes/tiles_3d/generated/procedural_lake.tscn,0,3,0,经典R1C2：修道院→中心湖泊(count4)
city_cap_shield_a,城边·盾徽,1,1,1,0,0,0,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n.tscn,0,4,0,经典R1C3：单边城墙+盾徽(count1)
city_cap_road_b,城边小路,1,4,1,0,0,2,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n_water_w.tscn,0,5,0,经典R1C4：单边城墙+路(count4)
city_cap_road_c,城边小路,1,5,1,0,0,2,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n_water_w.tscn,0,6,0,经典R1C5：单边城墙+路(count5)
city_wall_shield_a,环城·盾徽,1,2,1,1,1,0,0,0,0,0,0,0,,7,res://scenes/tiles_3d/generated/procedural_land_nes.tscn,0,7,0,经典R1C6：三边围城+盾徽(count2)
city_cap_shield_b,城边·盾徽,1,1,1,0,0,0,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n.tscn,0,8,0,经典R2C1：单边城墙+盾徽(count1)
city_cap_shield_c,城边·盾徽,1,3,1,0,0,0,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n.tscn,0,9,0,经典R2C2：单边城墙+盾徽(count3)
city_cap_a,城边·单城,1,2,1,0,0,0,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n.tscn,0,10,0,经典R2C3：单边城墙(count2)
city_cap_road_d,城边小路,1,3,1,0,0,2,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n_water_w.tscn,0,11,0,经典R2C4：单边城墙+路(count3)
city_cap_road_e,城边小路,1,3,1,0,0,2,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n_water_w.tscn,0,12,0,经典R2C5：单边城墙+路(count3)
city_cap_road_f,城边小路,1,3,1,0,0,2,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n_water_w.tscn,0,13,0,经典R2C6：单边城墙+路(count3)
city_cap_road_shield_a,城边路·盾徽,1,2,1,0,0,2,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n_water_w.tscn,0,14,0,经典R3C1：单边城墙+路+盾徽(count2)
city_cap_road_g,城边小路,1,3,1,0,0,2,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n_water_w.tscn,0,15,0,经典R3C2：单边城墙+路(count3)
city_cap_road_h,城边小路,1,2,1,0,0,2,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n_water_w.tscn,0,16,0,经典R3C3：单边城墙+路(count2)
city_cap_road_shield_b,城边路·盾徽,1,3,1,0,0,2,0,0,0,0,0,0,,1,res://scenes/tiles_3d/generated/procedural_land_n_water_w.tscn,0,17,0,经典R3C4：单边城墙+路+盾徽(count3)
city_full_shield_a,全城·盾徽,1,1,1,1,1,1,0,0,0,0,0,0,,15,res://scenes/tiles_3d/generated/procedural_land_four.tscn,0,18,0,经典R3C5：四边全城+盾徽(count1)
city_opp_road_a,对城·路,1,3,1,0,2,1,0,0,0,0,0,0,4,9,res://scenes/tiles_3d/generated/procedural_land_nw_water_s.tscn,0,19,0,经典R3C6：相对城边+横穿路(count3)
split_lands_ns,隔断田地,1,2,1,0,1,0,0,0,0,0,0,0,,1;4,res://scenes/tiles_3d/generated/procedural_land_ns.tscn,0,501,0,相对双边(北+南)各自独立成土地块：中心留空草地，验证 CENTER_SPLIT 链路
city_full_shield_b,全城·盾徽,1,2,1,1,1,1,0,0,0,0,0,0,,15,res://scenes/tiles_3d/generated/procedural_land_four.tscn,0,20,0,经典R4C1：四边全城+盾徽(count2)
city_full_shield_c,全城·盾徽,1,1,1,1,1,1,0,0,0,0,0,0,,15,res://scenes/tiles_3d/generated/procedural_land_four.tscn,0,21,0,经典R4C2：四边全城+盾徽(count1)
road_straight_a,笔直大道,1,8,2,0,2,0,0,0,0,0,0,0,5,,res://scenes/tiles_3d/generated/procedural_water_ns.tscn,0,22,0,经典R4C3：贯穿直路(count8)
road_curve_a,曲折小径,1,9,2,2,0,0,0,0,0,0,0,0,3,,res://scenes/tiles_3d/generated/procedural_water_ne.tscn,0,23,0,经典R4C4：转弯路(count9)
road_cross_building_a,路口村舍,1,4,2,2,2,0,0,0,0,0,0,0,7,,res://scenes/tiles_3d/generated/procedural_water_nes.tscn,0,24,0,经典R4C5：三岔路+村舍(count4)
road_cross4_a,十字路口,1,1,2,2,2,2,0,0,0,0,0,0,15,,res://scenes/tiles_3d/generated/procedural_water_nesw.tscn,0,25,0,经典R4C6：四向十字路(count1)
